Audience Code,Audience Name,Audience Active,Audience Description
Global_Workplace_Harassment_Prevention_for_Managers,Global Workplace Harassment Prevention for Managers,1,Global Workplace Harassment Training for ALL NAMCs. Supervisors and Above. Hoshin FY 21
Guardhouse_Requirements,Guardhouse Requirements,1,Guardhouse Group
Guest,Guest,1,This Audience have Guest Users only.
Handwritten_Changes_on_Controlled_Documents,Handwritten Changes on Controlled Documents,1,"All Supervisors, Managers, Engineers, and Set-up"
Hazardous_Waste_Labeling_(EWI_4.6.31),Hazardous Waste Labeling (EWI 4.6.31),1,"Dept. 6218 pushed by curriculum (entire department, including Supervisors & Managers)_____ Dept. 6225 (entire department, including Supervisors & Managers)_____ [SS] Depts.: 6164, 6189, 6191, 6193, 6196, 6198 (with job titles of Maintenance Team Members I,II,III, IV; Supervisors; Managers)_____ [IE] Dept.: 5040 (Maintenance Team Members I, II, III, IV; Supervisors; Managers)_____ [NAI] Dept: 5040I (Maintenance Team Members I, II, III, IV; Supervisors; Managers)____"
Hazardous_Waste_Labeling_(EWI_4.6.31),Hazardous Waste Labeling (EWI 4.6.31),1,Maintenance 3455 & 3355____Dept. 3467____Dondori 3469____Extrusion 3473
Hazardous_Waste_Storage/Removal_(EWI_4.6.32),Hazardous Waste Storage/Removal (EWI 4.6.32),1,Dept. 8032
Hazards_for_3M_Adhesion_Promoter,Hazards for 3M Adhesion Promoter,1,Audience for Hazards for 3M Adhesion Promoter.
Hazards_for_NMP_Cleaner,Hazards for NMP Cleaner,1,Hazards for NMP Cleaner. For all members of Poly and Poly management. 1 year recertification.
Hazwoper_40,Hazwoper 40,1,Emergency Response Team
Hazwoper_8,Hazwoper 8,1,Emergency Response Team
Hearing_Conservation,Hearing Conservation,1,Dept. 4633____ Dept. 4633X____ Dept. 4507____ Dept. 4507X____ Hearing Conservation Group
Hexavalent_Chromium,Hexavalent Chromium,1,Dept. 6218____ Dept. 8032____ Safety Specialist
IATA_Dangerous_Goods_(Air),IATA Dangerous Goods (Air),1,Employees who ship dangerous goods by air & sign shipping manifests
ILT,Global Machine Safety Standard ILT,1,This Audience have Global Machine Safety Standard ILT Users only.
IMDG_Dangerous_Goods_(Sea),IMDG Dangerous Goods (Sea),1,Employees who ship dangerous goods by water & sign shipping manifests
IMX - 8BR,8BR (8 Basic Requirements),1,Production TM's after 3 years of service
IMX - 8BR for New Hires,8BR (8 Basic Requirements) for New Hires,1,This Audience have 8BR (8 Basic Requirements) for New Hires Users only.
IMX - Antitrust Compliance Oath,Antitrust Compliance Oath,1,All salary job titles
IMX - Benefits Orientation,Intro to AGG - Benefits Orientation (IMX),1,All IMX new hires
IMX - Benefits Orientation (REHIRES),Intro to AGG - Benefits Orientation Rehire (IMX),1,Rehire audience for IMX benefits orientation.
IMX - Bribery Guidelines,Bribery Guidelines,1,Asst Managers____Managers___Senior Managers
IMX - Business Conduct Agreement,Business Conduct Agreement,1,all salary job titles
IMX - Calidad Incorporada (Built-in Quality) (todos los módulos),Built in Quality (All Modules),1,This Audience have Built in Quality (All Modules) Users only.
IMX - Cámbio Rápido – Quick Changeover: El sistema SMED (todos los módulos),Quick Changeover: The SMED System (All Modules),1,This Audience have Quick Changeover: The SMED System (All Modules) Users only.
IMX - Chrome Physical,Chrome Physical,1,Plating
"IMX - Conferencia de Masaaki Imai sobre Gemba, Kaizen y Lean (todos los módulos)","Conference on Gemba, Kaizen, and Lean (All Modules)",1,"This Audience have Conference on Gemba, Kaizen, and Lean (All Modules) Users only."
IMX - Confined Space,Confined Space,1,This Audience have Confined Space Users only.
IMX - Electrical Safety,Electrical Safety,1,Maintenance____ Engineering
IMX - Fall Protection,Fall Protection,1,This Audience have Fall Protection Users only.
IMX - Filehold,Filehold Training,1,managers and staff
IMX - Fire Extinguisher E-course,Fire Extinguisher E-course (IMX),1,temporary audience for Spanish version of Fire Extinguisher - to be used until SumTotal updates Production to 21.1
IMX - First Aid,First Aid Certification,1,This Audience have First Aid Certification Users only.
IMX - Forklift Certification,Forklift Certification (IMX),1,This Audience have Forklift Certification (IMX) Users only.
IMX - Harassment Prevention,Workplace Harassment Prevention for Managers,1,managers
IMX - Hazcom,Hazard Communication,1,Paint____ Plating____ Some members in Receiving
IMX - Hearing Conservation,Hearing Conservation,1,Pintura members
IMX - Hexavalent Chromium,Hexavalent Chromium,1,Assistant Manager in Platinado____ Engineer of Platinado____ Supervisor of Platinado
IMX - Intro to AGG Orientation,Intro to AGG - Orientation (IMX),1,All IMX new hires
IMX - Las 7 Herramientas de Control de Calidad (todos los módulos),Seven Quality Control Tools (All Modules),1,This Audience have Seven Quality Control Tools (All Modules) Users only.
IMX - Legal Compliance,AGG Legal Compliance Training,1,For SPVR's and Above
IMX - LIVE Fire,LIVE Fire Extinguisher Certification (IMX),1,Paint____Plating____Maintenance
IMX - LMS Intro SPANISH,LMS Introduction (Online) - SPANISH,1,This Audience have LMS Introduction (Online) - SPANISH Users only.
IMX - Mantenimiento Productivo Total (TPM) (todos los módulos),Total Productive Maintenance (All Modules),1,This Audience have Total Productive Maintenance (All Modules) Users only.
IMX - OHC,Overhead Crane Cert. (IMX),1,This Audience have Overhead Crane Cert. (IMX) Users only.
IMX - Phishing & Cybersecurity,Phishing and Cybersecurity Basics,1,all salaried employees
IMX - Planeación Hoshin (todos los módulos),Hoshin Planning (All Modules),1,This Audience have Hoshin Planning (All Modules) Users only.
IMX - Pulmonary Function Test,Pulmonary Function Test,1,Plating____ Paint
IMX - RBT,RBT (Regional Basic Training) AGGIMX,1,RBT Audience for IMX
IMX - Reporte A3 (todos los módulos),A3 Thinking (All Modules),1,This Audience have A3 Thinking (All Modules) Users only.
IMX - Respiratory Protection E-Course,Respiratory Protection E-Course,1,Platinado and Pintura members
IMX - Scissor & Boom,Scissor & Boom Cert. (AGGIMX),1,This Audience have Scissor & Boom Cert. (AGGIMX) Users only.
IMX - Scrubber Evacuation,Scrubber Evacuation,1,Platinado____ individual maintenance personnel
IMX - Statement of Confidentiality,Statement of Confidentiality,1,accounting____human resources____sales
IMX - Static Grounding Standards,Static Grounding Standards,1,Supervisors & Lead Team Members in Paint and Plating____ Maintenance Team Members____ Engineers____ Receiving PA Team Members
IMX - Sustainable Development Goals,Sustainable Development Goals,1,Asst. GM and above
IMX - TACTIS,TACTIS,1,263465 QA – Just the position QA Engenieers 263475 – Process Engeniering 263460 – PPCC
IMX - Transformando Su Cadena De Valor (todos los módulos),Transforming Your Value Streams (All Modules),1,This Audience have Transforming Your Value Streams (All Modules) Users only.
IMX - Welding Safety,Welding Safety,1,Kaizen (TPS members)____ maintenance TM's
IMX Location,Lockout Tagout (Authorized),1,"Machine & Tools____Human Resources Safety Specialist, Env. & Health Ocup., Safety Tech____Plating engineers & maintenance____Equipment Engineering"
imx_reporting_audience,IMX Reporting Audience,1,Reporting access for the IMX domain. DO NOT DELETE OR OVERRIDE
Indiana Location,First Aid Certification - AGGNAI,1,"AGGNAI Team Members that volunteer to be on First Aid Team and are First Aid Certified: Heartsaver First Aid CPR AED is a video-based, instructor-led course that teaches students critical skills needed to respond to and manage an emergency until emergency medical services arrives."
Initiative_-_TEST,Initiative - TEST,1,This Audience have Initiative - TEST Users only.
Injection_Machine_Nozzle_Removal_(AGGMO),Injection Machine Nozzle Removal (AGGMO),1,"Audience for users who need to take Injection Machine Nozzle Removal Training. Departments 5040, 5040I, 5040M, 5041."
INT007,Test Audience (Intel),1,This is a test audience for Adam W to learn his way around the LMS System
Intern_test,Intern test,1,This Audience have Intern test Users only.
Internet_Security_Awareness,Internet Security Awareness,1,AGGNA employees
INTRO_TO_AGG_REHIRE_IMX,Intro to AGG - Orientation Rehire (IMX),1,Audience to assign intro to AGG to rehired employees at IMX.
IT_Reporting_Audience,IT Reporting Audience,1,Reporting audience for IT Training.
Kanban_Handling,Kanban Handling,1,"Kanban Handling training for Supervisors, Lead Team Members, and Production Team Members in dept 4501."
Kanban_system,Kanban system,1,PPCC engenieer____ Líder de empuje____ Comprador de materiales
Kiken_Yochi,Kiken Yochi,1,"All Production, Quality, Setup, and Maintenance Supervisors"
L&D_Member_Percipio_Access,L&D Member Percipio Access,1,HR Management Audience for Percipio access
Learnin Plan_Shift Leader (IE Mold Maint),Shift Leader (IE Mold Maint),1,Requirements for Shift Leader in IE Mold Maintenance 5043
Learning Plan_Assistant General Manager (IE),Assistant General Manager (IE),1,Requirements for Assistant General Manager in IE
Learning Plan_Design Engineer I,Design Engineer I,1,Requirements for Design Engineer I
Learning Plan_Design Engineer II,Design Engineer II,1,Requirements for Design Engineer II
Learning Plan_Design Engineer III,Design Engineer III,1,Requirements for Design Engineer III
Learning Plan_Engineering Technician I (Chrome),Engineering Technician I (Chrome),1,Requirements for Engineering Technician I in IE Chrome 6218
Learning Plan_Engineering Technician I (IE Manf Eng),Engineering Technician I (IE Manf Eng),1,Requirements for Engineering Technician I in IE Manufacturing Engineering 6219
Learning Plan_Engineering Technician I (IE Mold Maint),Engineering Technician I (IE Mold Maint),1,Requirements for Engineering Technician I in IE Mold Maintenance 5043
Learning Plan_Engineering Technician I (Paint),Engineering Technician I (Paint),1,Requirements for Engineering Technician I in IE Paint 6225
Learning Plan_Engineering Technician II (Chrome),Engineering Technician II (Chrome),1,Requirements for Engineering Technician II in IE Chrome 6218
Learning Plan_Engineering Technician II (IE Manf Eng),Engineering Technician II (IE Manf Eng),1,Requirements for Engineering Technician II in IE Manufacturing Engineering 6219
Learning Plan_Engineering Technician II (IE Mold Maint),Engineering Technician II (IE Mold Maint),1,Requirements for Engineering Technician II in IE Mold Maintenance 5043
Learning Plan_Engineering Technician II (Paint),Engineering Technician II (Paint),1,Requirements for Engineering Technician II in IE Paint 6225
Learning Plan_Engineering Technician III (Chrome),Engineering Technician III (Chrome),1,Requirements for Engineering Technician III in IE Chrome 6218
Learning Plan_Engineering Technician III (IE Manf Eng),Engineering Technician III (IE Manf Eng),1,Requirements for Engineering Technician III in IE Manufacturing Engineering 6219
Learning Plan_Engineering Technician III (IE Mold Maint),Engineering Technician III (IE Mold Maint),1,Requirements for Engineering Technician III in IE Mold Maintenance 5043
Learning Plan_Engineering Technician III (Paint),Engineering Technician III (Paint),1,Requirements for Engineering Technician III in IE Paint 6225
Learning Plan_General Manager (IE),General Manager (IE),1,Requirements for General Manager in IE
Learning Plan_Machine Engineer I (SS),Machine Engineer I (SS),1,Requirement for Machine Engineer I in SS Machine Engineering-Mass Prod 5083
Learning Plan_Machine Engineer II (SS),Machine Engineer II (SS),1,Requirement for Machine Engineer II in SS Machine Engineering-Mass Prod 5083
Learning Plan_Machine Engineer III (SS),Machine Engineer III (SS),1,Requirement for Machine Engineer III in SS Machine Engineering-Mass Prod 5083
Learning Plan_Manufacturing Engineer I (IE Manf Eng),Manufacturing Engineer I (IE Manf Eng),1,Requirements for Manufacturing Engineer I in IE Manufacturing Engineering 6219
Learning Plan_Manufacturing Engineer I (Paint),Manufacturing Engineer I (Paint),1,Requirements for Manufacturing Engineer I in IE Paint Dept 6225
Learning Plan_Manufacturing Engineer II (IE Manf Eng),Manufacturing Engineer II (IE Manf Eng),1,Requirements for Manufacturing Engineer II in IE Manufacturing Engineering 6219
Learning Plan_Manufacturing Engineer II (IE),Manufacturing Engineer II (IE),1,Requirements for Manufacturing Engineer II in IE Paint Dept 6225
Learning Plan_Manufacturing Engineer III,Manufacturing Engineer III,1,Requirements for Manufacturing Engineer III in IE Paint Dept 6225
Learning Plan_Manufacturing Engineer III (IE Manf Eng),Manufacturing Engineer III (IE Manf Eng),1,Requirements for Manufacturing Engineer III in IE Manufacturing Engineering 6219
Learning Plan_Mold Engineer I (IE),Mold Engineer I (IE),1,Requirements for Mold Engineer I in IE Mold Maintenance 5043
