Audience Code,Audience Name,Audience Active,Audience Description
AGGKY - Storm Water,Storm Water Management & Spill Prevention,1,EHS____ Facility Management____ All Kaizen____ Production Supervisors____ Maintenance Supervisors____ Engineering Supervisors____ Receiving
AGGKY - Supervisor Guidelines,SCP Guidelines (KY),1,Supervisor Certification Program Participants
AGGKinto - 11 Commitments Full Course,AGG Kinto 11 Commitments (Full Course),1,Full 11 Commitments Course for AGG Kinto. Specific user audience.
AGGKinto - 11 Commitments Quiz,AGG Kinto 11 Commitments (Quiz Only),1,Quiz over the 11 Commitments Activity from AGGNA.
AGGKinto Covid Vaccine Survey,AGGKinto Covid Vaccine Survey,1,Full facility audience for the AGG Kinto Covid Vaccine Survey
AGGMO,Storm Water Management & Spill Prevention (AGGMO),1,"Dept. 5023____Dept. 5021____Dept. 5083 Dept. 8032____Maintenance I, II, III, IV, Maintenance Team Member, Jr"
AGGMO - 49 CFR,49 CFR Dangerous Goods (Land),1,Employees who ship dangerous goods by land & sign shipping manifests
AGGMO - Antitrust Compliance Oath,Antitrust Compliance Oath,1,all salary Job titles
AGGMO - Benefits (REHIRE),Intro to AGG - Benefits Orientation (REHIRE),1,Rehire audience for benefits training at TMO facilities.
AGGMO - Benefits Orientation,Intro to AGG - Benefits Orientation,1,"All AGG full-time employees (does not include interns, part-time, and temp employees)"
AGGMO - Benefits Orientation (new),Intro to AGG - Benefits Orientation (new),1,All AGG direct hires and conversions (excluding interns)
AGGMO - Bribery Guidelines,Bribery Guidelines,1,Assistant General Managers____ General Managers____ Senior General Mangers
AGGMO - Business Conduct Agreement,Business Conduct Agreement,1,All salary employees
AGGMO - Filehold,Filehold Training,1,"IE division Leader Techs, Supervisors, Managers, GMs, Quality Engineers"
AGGMO - Fire Extinguisher,Fire Extinguisher,1,"Emergency Response Team (MO)____Dept. 5040____ Dept. 5040I____ Dept. 5040M____ Dept. 5041____ Dept. 4506____ Dept. 4506X____ Dept. 6115____ Maintenance I, II, III, IV,V,VI, Maintenance Team Member, Jr"
AGGMO - First Aid,First Aid Certification - AGGMO,1,"AGGMO Team Members that volunteer to be on First Aid Team and are First Aid Certified: Heartsaver First Aid CPR AED is a video-based, instructor-led course that teaches students critical skills needed to respond to and manage an emergency until emergency medical services arrives."
AGGMO - First Aid Instructor,First Aid Instructor Certification,1,Instructors for First Aid/CPR/AED training
AGGMO - Fluidized Bed Operator Training,Fluidized Bed Operator Training,1,Individuals at AGGMO who operate fluidized beds
AGGMO - Forklift,Forklift Certification (AGGMO),1,Individuals who require Forklift Certification
AGGMO - FORKLIFT_REHIRE_AUDIENCE,Forklift Rehire Audience (AGGMO),1,An audience to identify and reassign intro to AGG training to rehired team members after one year of absence.
AGGMO - Hazcom,Chemical Safety (Hazcom) - Hazard Communication,1,Dept. 6218
AGGMO - Hazmat Security Plan,AGGMO DOT Hazardous Materials Security Plan (E8.2.0.5),1,Dept. 8032____ Security Guards (pushed to them through the Guardhouse Requirements audience)
AGGMO - Intro to AGG Orientation - Online,Intro to AGG - Online,1,all employees at AGGMO and AGGNAI
AGGMO - Intro to AGG Orientation - Online Rehire,Intro to AGG - Online Rehire,1,Rehire audience for AGG Intro Online.
AGGMO - Kiken Yochi Instructor,Kiken Yochi Instructor,1,This Audience have Kiken Yochi Instructor Users only.
AGGMO - Laser Safety,Laser Safety,1,Dept. 4514____ Dept. 4514X
AGGMO - Laser Safety Officer,Laser Safety Officer,1,Student Group
AGGMO - LIVE Fire,LIVE Fire Extinguisher Training,1,This Audience have LIVE Fire Extinguisher Training Users only.
AGGMO - Material Marking,Mold Material Marking Standard,1,This Audience have Mold Material Marking Standard Users only.
AGGMO - New Hire Physical,New Hire Physical,1,all new hires (direct & conversion)
AGGMO - OHC,Overhead Crane Cert. (AGGMO),1,"Individuals who need to operate overhead cranes_____Mold Set Up Team Members____ Mold Engineer I, II, III"
AGGMO - Orientation (ILT),Intro to AGG - Instructor Led,1,"all employees at AGGMS and AGGBTX___all Temps at AGGMO, AGGNAI, AGGMS, AGGBTX"
AGGMO - Orientation REHIRE (ILT),Intro to AGG - Instructor Led Rehire,1,An audience to identify and reassign intro to AGG training to rehired team members after one year of absence.
AGGMO - Phishing & Cybersecurity,Phishing & Cybersecurity Basics,1,All salaried job titles
AGGMO - Poly Dojo,Poly Dojo,1,Audience for all Poly new hires
AGGMO - Ranken,Ranken Students,1,Ranken participants
AGGMO - RBT,RBT (Regional Basic Training),1,salaried employees
AGGMO - RCRA,RCRA Training,1,People who package and ship hazardous Waste
AGGMO - Scissor & Boom,Scissor & Boom Cert. (AGGMO),1,Individuals who require Scissor & Boom Certification.
AGGMO - Static Grounding 6 month recert,Static Grounding Standards (6 month recert),1,Maint. TM 1 & 2 in Dept. 6225
AGGMO - Static Grounding Standards,Static Grounding Standards,1,Paint departments____ Paint Engineers____ Manufacturing Engineering____ Specialized Maintenance____Injection Management____ Quality Control Department____ Maintenance Team Members
AGGMO Location,Lockout Tagout (Authorized),1,"Engineer (Electrical, Mechanical, Maintenance)____ Machine Engineer I, II, III____ Engineer Technician I, II, III____ Kaizen Shop Tech____ Maintenance Team Member I, II, III, IV, Maintenance Team Member, Jr"
AGGMO Location (ILT),LMS Introduction for Managers (ILT),1,Supervisors and managers
AGGMO Location (Online),LMS Introduction for Managers (Online),1,Supervisors and managers
"AGGMO, AGGMS, AGGNAI",Storm Water Management E-Course,1,"Dept. 5023____ Dept. 5021____ Dept. 5040I____ Dept. 5040M____ Dept. 5083____ Dept. 8032____ Maintenance Team Members I, II, III, IV, Maintenance Team Member, Jr"
AGGMO_Confined Space,Confined Space,1,"AGGMO [IE] Dept: 5040 (with job titles of Maintenance Team Members I,II,III,IV,V,VI; Supervisors, Managers)_____ AGGMO [SS] Dept: 6184, 6189, 6191, 6193, 6196, 6198 (with job titles of Maintenance Team Members I,II,III,IV,V,VI; Supervisors; Managers)_____ AGGNAI Dept: 5040I (with job titles of Maintenance Team Members I,II,III,IV; Supervisors; Managers)_____ AGGMS Dept: 5040M_____ (with job titles of Maintenance Team Members I,II,III,IV; Supervisors; Managers)"
AGGMO_Social Media Policy Training,Social Media Policy Training,1,Audience for AGGMO Social Media Policy Training. All Assistant Managers and above.
AGGMS,Storm Water Management & Spill Prevention (AGGMS),1,This Audience have Storm Water Management & Spill Prevention (AGGMS) Users only.
AGGMS - Intro to AGG Orientation Online,Intro to AGG - Online (MS),1,Individual users
AGGNA - Antitrust Compliance Oath,Antitrust Compliance Oath,1,All salaried employees
AGGNA - Benefits Orientation,Intro to AGG - Benefits Orientation,1,New employees
AGGNA - Benefits Orientation (REHIRE),Intro to AGG - Benefits Orientation (REHIRE),1,Rehires who were gone for 1 year or longer
AGGNA - Bribery Guidelines,Bribery Guidelines,1,"AGM's, GM's, Sr GM's"
AGGNA - Business Conduct Agreement,Business Conduct Agreement,1,All salaried employees
AGGNA - Engineer Training,AGGNA Engineer Training,1,Engineer I____ Engineer II____ Engineer III at AGGNA and RTC
AGGNA - First Aid,First Aid Certification,1,First Aid team members
AGGNA - Forklift Cert,Forklift Certification (AGGNA),1,Forklift operators at AGGNA and AGGRTC
AGGNA - Hazcom,Hazard Communication,1,Test Technician____ Sr. Test Technician____ Intern
AGGNA - Intro to AGG (REHIRE),Intro to AGG - Orientation (REHIRE),1,Rehires who were gone for 1 year or longer
AGGNA - Intro to AGG Orientation,Intro to AGG - Orientation,1,New employees
AGGNA - Legal Compliance,AGG Legal Compliance Training,1,SPVR's and above
AGGNA - LMS Introduction (Online),LMS Introduction (Online),1,"All employees at AGGNA, RTC, and PS Group"
AGGNA - LMS Introduction for Managers (Online),LMS Introduction for Managers (Online),1,"AGGNA, RTC, and PS Group employees who have 1 or more direct reports"
AGGNA - Net 6,Net 6 Training,1,This Audience have Net 6 Training Users only.
AGGNA - Phishing & Cybersecurity,Phishing and Cybersecurity Basics,1,All salaried employees & others who have company email addresses
AGGNA - RBT,RBT (Regional Basic Training,1,"Salaried employees at AGGNA, RTC, and PS Group"
AGGNA - Statement of Confidentiality,Statement of Confidentiality,1,Employees exposed to employees' personal private information
AGGNAI,Storm Water Management & Spill Prevention (AGGNAI),1,"Dept. 5040I____ Maintenance I, II, III, IV"
AGGNAI - Fluidized Bed Operator Training,Fluidized Bed Operator Training,1,Individuals at AGGNAI who operate fluidized beds
AGGTX,AGGTX non-salaried employees,1,non-salaried employees
AGGTX - Antitrust,Antitrust Compliance Oath,1,All Salaried at AGGTX
AGGTX - Benefits Orientation,Intro to AGG - Benefits Orientation,1,Direct hires at AGGTX who join on or after 6/20/22
AGGTX - Bribery Guidelines,Bribery Guidelines,1,"AGM, GM, SGM"
AGGTX - Business Conduct,Business Conduct Agreement,1,All Salaried at AGGTX
AGGTX - Confined Space,Confined Space,1,maintenance___ facility maintenance____ technical engineers
AGGTX - Culture Survey,AGGTX Culture Survey,1,This Audience have AGGTX Culture Survey Users only.
AGGTX - Diversity Equity Inclusion,"Workplace Diversity, Equity, and Inclusion in Action",1,Asst. Manager and above
AGGTX - Fire Extinguisher,Fire Extinguisher,1,This Audience have Fire Extinguisher Users only.
AGGTX - Harassment Prevention for Managers,Global Workplace Harassment Prevention for Managers,1,Anyone in a leadership role at AGGTX
AGGTX - Intro to AGG,Intro to AGG - Orientation,1,Directs and temps at AGGTX location who join on or after 6/20/22
AGGTX - Legal Compliance,AGG Legal Compliance,1,Supervisors and above
AGGTX - LMS Intro for Managers,LMS Introduction for Managers (Online),1,Anyone who manages others
AGGTX - LMS Introduction,LMS Introduction (Online),1,All AGGTX employees
AGGTX - LOTO,Lockout Tagout (Authorized),1,This Audience have Lockout Tagout (Authorized) Users only.
AGGTX - Phishing & Cybersecurity,Phishing & Cybersecurity Basics,1,Salaried____ maintenance____ team leads
AGGTX - RBT,RBT (Regional Basic Training),1,all Salaried employees
AGGTX - SCP Group 1,SCP Group 1 - AGGTX,1,TPS & Safety 10/3/22 - 10/7/22
AGGTX - Skillsoft Percipio Leadership,Percipio Leadership Access,1,This Audience have Percipio Leadership Access Users only.
AGGTX - Statement of Confidentiality,Statement of Confidentiality,1,Salaried users at AGGTX
AGGTX - Supervisor Guidelines,SCP Guidelines (TX),1,Participants of the Supervisor Certification Program
AGGU - L & D Training Plan,L & D Training Plan,1,Learning & Development Specialists new to AGG
TX - Intro online,Intro to AGG - Online,1,This Audience have Intro to AGG - Online Users only.
TX - OJT Members,OJT Members (TX),1,This Audience have OJT Members (TX) Users only.
tx_reporting_audience,TX Reporting Audience,1,Reporting audience for TX domain.
Waste_Water_Permit_Control_Plan_(EWI_4.6.43),Waste Water Permit Control Plan (EWI 4.6.43),1,Student Group
Waste_Water_Treatment_Systems_(WWTS),Waste Water Treatment Systems (WWTS),1,Plating (operators)
Waste_Water_Treatment_Systems_(WWTS)_Operator_Training,Waste Water Treatment Systems (WWTS) Operator Training,1,Employees who operate and maintain WWTS
Welding_Safety,Welding Safety,1,Fab shop____ TPS team members who weld
Welding_Safety,Welding Safety,1,Maintenance 3455____Maintenance 3355____Engineering 3450
Work_Instruction_Completion_Procedure,Work Instruction Completion Procedure,1,New Engineers
Workplace Diversity Equity Inclusion,Count for new job titles,1,This Audience have Count for new job titles Users only.
"Workplace_Diversity,_Equity_and_Inclusion_in_Action","Workplace Diversity, Equity and Inclusion in Action",1,"Audience for all Managers at AGG. Used to assign to all manager job titles at AGG companies. Workplace Diversity, Equity, and Inclusion in Action"
