JOB_CODE,JOB_NAME,created By EmployeeID,JOB_DESC
IMX000312,Ingeniero de IMS,DefaultAdmin,This Job is for Ingeniero de IMS Users only
IMX000313,Ingeniero de Mantenimiento de Pintura,DefaultAdmin,This Job is for Ingeniero de Mantenimiento de Pintura Users only
IMX000314,Ingeniero de Tecnologías de la información,DefaultAdmin,This Job is for Ingeniero de Tecnologías de la información Users only
IMX000315,Ingeniero de TPS,DefaultAdmin,This Job is for Ingeniero de TPS Users only
IMX000316,Ingeniero Senior de Máquinas y Herramientas (Tooling),DefaultAdmin,This Job is for Ingeniero Senior de Máquinas y Herramientas (Tooling) Users only
IMX000317,Líder de Filler Pipe,DefaultAdmin,This Job is for Líder de Filler Pipe Users only
IMX000318,Líder de Kaizen,DefaultAdmin,This Job is for Líder de Kaizen Users only
IMX000319,Líder de Máquinas y Herramientas (Tooling),DefaultAdmin,This Job is for Líder de Máquinas y Herramientas (Tooling) Users only
IMX000320,Líder de Tacoma,DefaultAdmin,This Job is for Líder de Tacoma Users only
IMX000321,Supervisor de Contabilidad,DefaultAdmin,This Job is for Supervisor de Contabilidad Users only
IMX000322,Supervisor de Ingeniero de Mantenimiento,DefaultAdmin,This Job is for Supervisor de Ingeniero de Mantenimiento Users only
IMX000323,Supervisor de Ingeniero de Platinado,DefaultAdmin,This Job is for Supervisor de Ingeniero de Platinado Users only
IMX000324,Supervisor de Máquinas y Herramientas (Tooling),DefaultAdmin,This Job is for Supervisor de Máquinas y Herramientas (Tooling) Users only
IMX000325,Supervisor de Procesos de inyección,DefaultAdmin,This Job is for Supervisor de Procesos de inyección Users only
IMX000326,Supervisor de Procesos Ensamble,DefaultAdmin,This Job is for Supervisor de Procesos Ensamble Users only
IMX000327,Supervisor De Procesos Inyección,DefaultAdmin,This Job is for Supervisor De Procesos Inyección Users only
IMX000328,Supervisor de Proyectos,DefaultAdmin,This Job is for Supervisor de Proyectos Users only
IMX000329,Supervisor de Sistema de Produccion Toyota (TPS),DefaultAdmin,This Job is for Supervisor de Sistema de Produccion Toyota (TPS) Users only
IMX000330,Supervisor Senior de Ensamble,DefaultAdmin,This Job is for Supervisor Senior de Ensamble Users only
IMX000331,Técnico de Equipamiento de Inyección,DefaultAdmin,This Job is for Técnico de Equipamiento de Inyección Users only
IMX000332,Técnico de Maquinas y herramientas,DefaultAdmin,This Job is for Técnico de Maquinas y herramientas Users only
IMX000333,AGM de Produccion,DefaultAdmin,This Job is for AGM de Produccion Users only
IMX000334,Operador de IMS,DefaultAdmin,This Job is for Operador de IMS Users only
IMX000335,Supervisor de Calidad,DefaultAdmin,This Job is for Supervisor de Calidad Users only
IMX000336,Supervisor de Mantenimiento,DefaultAdmin,This Job is for Supervisor de Mantenimiento Users only
IMX000338,Ingeniero de empaque,DefaultAdmin,This Job is for Ingeniero de empaque Users only
IMX000339,Operador dn Pintura,DefaultAdmin,This Job is for Operador dn Pintura Users only
IMX000340,Operador do Pintura,DefaultAdmin,This Job is for Operador do Pintura Users only
IMX000341,Operador dt Calidad,DefaultAdmin,This Job is for Operador dt Calidad Users only
IMX000342,Asistente de Contabilidad,DefaultAdmin,This Job is for Asistente de Contabilidad Users only
IMX000343,Técnico de Mantenimiento de Inyección,DefaultAdmin,This Job is for Técnico de Mantenimiento de Inyección Users only
IMX000348,Gerente General Asistente de Produccion,DefaultAdmin,This Job is for Gerente General Asistente de Produccion Users only
IMX000349,Asistente de Clima Laboral,DefaultAdmin,This Job is for Asistente de Clima Laboral Users only
IMX000350,Técnico de Mantenimiento de platinado,DefaultAdmin,This Job is for Técnico de Mantenimiento de platinado Users only
IMX000351,Técnico de manufactura de inyección,DefaultAdmin,This Job is for Técnico de manufactura de inyección Users only
IMX000354,Técnico de análisis químico,DefaultAdmin,This Job is for Técnico de análisis químico Users only
IMX000355,Operador de Pintura,DefaultAdmin,This Job is for Operador de Pintura Users only
IMX000356,Operador de Vacuum forming,DefaultAdmin,This Job is for Operador de Vacuum forming Users only
IMX000387,Supervisor Senior de Administración de la Producción,DefaultAdmin,This Job is for Supervisor Senior de Administración de la Producción Users only
IMX000390,Especialista de entrenamiento,DefaultAdmin,This Job is for Especialista de entrenamiento Users only
IMX000396,Operador de Pintura Mantenimiento,DefaultAdmin,This Job is for Operador de Pintura Mantenimiento Users only
IMX000397,Asistente de entrenamiento,DefaultAdmin,This Job is for Asistente de entrenamiento Users only
IMX000398,Líder Junio de Recibo,DefaultAdmin,This Job is for Líder Junio de Recibo Users only
IMX000399,Líder Junior de Administración de la Producción,DefaultAdmin,This Job is for Líder Junior de Administración de la Producción Users only
IMX000400,Líder Junior de Costura,DefaultAdmin,This Job is for Líder Junior de Costura Users only
IMX000401,Líder Junior de Embarques,DefaultAdmin,This Job is for Líder Junior de Embarques Users only
IMX000402,Líder Junior de Engrapado,DefaultAdmin,This Job is for Líder Junior de Engrapado Users only
IMX000403,Líder Junior de Ensamble,DefaultAdmin,This Job is for Líder Junior de Ensamble Users only
