ActivityCode,ActivityName,ActivityType,Provider,Active,Language,EstimatedDuration,EstimatedCredits,ActivityDescription,Topic,LaunchURL
Percipio_a2331f79-b8db-41c9-87f4-ff003e075c16,Office Manager Journey,Document,Online Content,1,en-us,,,"Office Managers can help the office run smoothly, by using their expertise to maintain office equipment and supplies, directing and supervising staff, and more. Learn more about the competencies and skills required by the Office Manager. This Journey is based on real-time market information from Burning Glass Technologies and focuses on the role of the Office Manager within organizations.",Concur,https://google.com
Percipio_a32f4e9d-3585-46ff-99d2-290a68545439,Tools to Help Kids Stay Focused During Distance Learning,Document,Online Content,1,en-us,,,"To make sure kids stay on task, use an automated to-do list, an at-a-glance scheduler, a site blocker, or another digital tool to prevent distractions. Advice from Common Sense Media editors. Please note that this course material includes content gathered from external websites which may fall outside your company network. Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.",C#,https://google.com
Percipio_a5327ca8-1930-452c-87a1-11765e6134fc,PMP ATP - October/November NA Cohort: Live Session 2,Document,Online Content,0,en-us,16200,,Click here to join the Live session on October 19th at 12 PM – 4:30 PM EDT.,Civil,https://google.com
Percipio_a6db9940-47f4-43d1-b4e3-eeeb2fa3796e,Retail Sales Associate Journey,Document,Online Content,1,en-us,,,"Retail Sales Associates are responsible for processing transactions (including payment and paperwork) for customers and checking store inventory, usually by using a cash register at a service counter. They can be found in many different industries and can help with repairs, providing rentals, or other services. Learn more about the skills and competencies required by Retail Sales Associates. This Journey is based on real-time market information from Burning Glass Technologies and focuses on the role of the Retail Sales Associate within organizations.",Corporate Marketing,https://google.com
Percipio_a973d353-111d-4ee4-9bad-1f8a59da8f2a,AWS Cloud Practitioner Bootcamp: Live Session 2,Document,Online Content,0,en-us,14400,,Click here to register for the live session on January 20th at 11 AM EST.,Business Execution,https://google.com
Percipio_aa4cd448-2728-423f-971c-b169c8af1b7e,What happens when toxic office behavior moves online while working from home,Document,Online Content,1,en-us,,,"When millions of U.S. office workers were sent to work from home in March to curb the spread of the coronavirus, employers did something few have done successfully at scale — they sent corporate culture home with them. For several weeks in the spring, office professionals banded together to adjust to a new way of living and working online. But as weeks of remote work have stretched into months, it’s becoming clear the toxic environment sometimes housed in office cubicles and shared break rooms is moving into workers’ homes, too. Please note that this course material includes content gathered from external websites which may fall outside your company network.  Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.",Cloud Career Journey,https://google.com
Percipio_aacf396e-9ce6-4ff9-8ca4-b1dd9ac7e9cd,Human Resources Consultant Journey,Document,Online Content,1,en-us,,,"Human resources are the heart of an organization. HR unites every part of an organization and are responsible for more than just talent management, recruiting qualified employees, onboarding, and performance management. Learn more about the competencies and skills required by the Human Resources Consultant. This Journey is based on real-time market information from Burning Glass Technologies and focuses on the role of the Human Resources Consultant within organizations.",Browse Partner Content,https://google.com
Percipio_aed34d41-d930-4546-8ccc-23ca17bc72f0,PMP ATP - August/September Cohort: Live Session 7,Document,Online Content,0,en-us,16200,,Click here to enter the Live session on September 20th at 1 PM Eastern.,Cloud,https://google.com
Percipio_b1968a23-8cb5-44b1-a5be-10e6aa21776f,Marketing Automation Analyst Journey,Document,Online Content,1,en-us,,,"The Marketing Automation Analyst is responsible for the online marketing and advertising needs of a company. They can use social media and other web applications for their promotional campaigns and other promotions, as well as marketing apps with dashboards to help oversee multiple social media platforms simultaneously. Learn more about the skills and competencies required by Marketing Automation Analysts. This Journey is based on real-time market information from Burning Glass Technologies and focuses on the role of the Marketing Automation Analyst within organizations.",Communication,https://google.com
Percipio_b2c7eab5-5052-455e-9ae1-aa755bf115fe,Executive Assistant Journey,Document,Online Content,1,en-us,,,"Executive Assistants are responsible for providing administrative support for executives or officers, and can help with scheduling meetings, preparing presentations, and providing information and staff communications. They must possess incredible communication and organizational skills, and exceptional Business Etiquette & Professionalism. Learn more about the skills and competencies required by Executive Assistants. This Journey is based on real-time market information from Burning Glass Technologies and focuses on the role of the Executive Assistant within organizations.",Core,https://google.com
Percipio_b2d9e5cb-940a-4d7f-86d7-3a5e1de7bbff,Childcare and Working Parents: The Juggle Is Real,Document,Online Content,1,en-us,,,"You can’t afford spiraling child-care costs, but you can’t afford not to work. Either way, you have no financial safety net. You’re scared, mad, and second-guessing your choices. We hear you. Please note that this course material includes content gathered from external websites which may fall outside your company network.  Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.",Business Skills,https://google.com
