ActivityCode,ActivityName,ActivityType,Provider,Active,Language,EstimatedDuration,EstimatedCredits,ActivityDescription,Topic,LaunchURL
Percipio_18ca4f0a-529a-49dc-93b6-a63ab43d4aed,Sales Manager Journey,Document,Online Content,1,en-us,,,"Sales managers must get products to customers, but they are also responsible for setting realistic goals and quotas and managing their sales team. They must possess a wide variety of skills to be successful such as selling skills, team building, and customer service. The sales manager role is critical to an organization because of these individuals have a direct influence on revenue-generating activities. Sales managers hold their reps accountable, review their performance, and coach them on how to grow their skills. Learn more about the skills required by a sales manager.",Business Continuity Planning,https://google.com
Percipio_19777be0-da23-473a-986a-f8eea57d485c,Rookie to Rockstar: Mastering Professional Effectiveness,Document,Online Content,1,en-us,,,"Joining an office-based working environment can be a big transition, regardless of if you are going into an office daily or dialing in from your home office. To become a rockstar in your new job, it will be important for you to understand how to contribute, how to interact with your work colleagues, and how to keep yourself on track. This onboarding journey can give you the foundational skills needed to be an effective co-worker and employee.",Cloud Practitioner,https://google.com
Percipio_198a7c4e-2ba3-4150-87a3-365bd9636987,Agile Project Management Bootcamp: Live Session 4,Document,Online Content,0,en-us,10800,,"Click here to enter the live session on December 16th at 11 AM ET. In this session Barabara Waters will introduce adaptive planning, problem detection, and continuous improvement.",Cybersecurity Career Journey,https://google.com
Percipio_19cd30a7-1e70-44fc-9d31-d84de2994651,PSM I (Professional Scrum Master level I) Bootcamp: Live Session 1,Document,Online Content,0,en-us,10800,,Click here to enter the live session on September 29th at 11 AM ET.,Codecademy,https://google.com
Percipio_1c01c07c-561c-4f62-9991-656daee9846c,Supply Chain Manager Journey,Document,Online Content,1,en-us,,,"The flow of goods and services and all relevant the associated processes are the focus of the Supply Chain Manager. They must not only manage costs and avoid supply shortages, but ensure products get to the consumer fast and efficiently. This journey will take you through some of the main areas important to any successful Supply Chain Manager.",Data,https://google.com
Percipio_1e4ee7b2-351d-44bb-a6db-4248c943af3c,Human Resources Journey,Document,Online Content,1,en-us,,,"Human resources is the lifeblood of an organization, and is about more than just managing people. You can discover that human resources touch every part of an organization from recruitment and development, performance management, business planning, compliance, and more. Human resources includes staffing, setting policies, compensation and benefits, retention, training, employment laws, and worker protection. Learn more about the role of Human Resources within organizations.",Business Communication,https://google.com
Percipio_202b6e45-4042-4a0a-a812-c9ec7b47b70d,5 ways to practice good video call etiquette while working from home,Document,Online Content,1,en-us,,,"Just one month ago, very few people could have anticipated toddlers becoming such a fixture of office life. But here we are. In his New York Times article ""Dos and Don'ts of Online Video Meetings,"" consumer technology writer Brian X. Chen shares tips from experts on preventing your partners, pets, and precious little ones from derailing your new life at the home office.  Please note that this course material includes content gathered from external websites which may fall outside your company network.  Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.",Codecademy Languages,https://google.com
Percipio_20bf3fc2-8b73-4f22-b584-3c87b3c6e1e1,"School Decision-Making Tool for Parents, Caregivers, and Guardians",Document,Online Content,1,en-us,,,"This tool is designed to help parents, caregivers, and guardians weigh the risks and benefits of available educational options to help them make decisions about sending their child back to school. Please note that this course material includes content gathered from external websites which may fall outside your company network.  Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.",Corporate Communications,https://google.com
Percipio_20db72de-4a6e-41bb-bd8e-05e158afe9cf,Event Planner Journey,Document,Online Content,1,en-us,,,"Events can include things such as client meetings and promotional events, and can require a lot of planning, budgeting, and scheduling to be successful. Event planners can help organizations with the coordination of finances, planning, staff, supplies, and services and more throughout the stages of an event - from planning through execution to closing. This Journey is based on real-time market information from Burning Glass Technologies and focuses on the role of the Event Planner within organizations.",Business Strategy,https://google.com
Percipio_21167ffc-f4f0-4cb6-9d2c-6922854d2ecb,PMP ATP - July/August/September UK and APAC Cohort: Live Session 5,Document,Online Content,0,en-us,16200,,Click here to enter the Live session on August 24th at 9 AM BST/6 PM AEST.,Cloud Platforms,https://google.com
Percipio_21412526-ff81-4258-a793-1a746242f1b8,Scrum Team Member to Scrum Product Owner (2022 Update),Document,Online Content,1,en-us,,,"Every organization is looking to transform towards a more Agile mindset. As a result, there is an increasing demand for Senior Software Project Managers with relevant training and experience in Agile methodologies relating to software development. In this Skillsoft Aspire journey, you will explore how to go from a Scrum Team Member to Scrum Product Owner.",Cloud Computing & Server Technology,https://google.com
Percipio_215efcea-27d6-48b8-902b-b4572ceb476d,PSM I (Professional Scrum Master level I) Bootcamp: Live Session 2,Document,Online Content,0,en-us,10800,,Click here to enter the live session on September 30th at 11 AM ET.,Codecademy,https://google.com
Percipio_24eb6d4d-6c9f-4e9b-8548-1f64d802d7eb,PMP ATP - October/November NA Cohort: Live Session 4,Document,Online Content,0,en-us,16200,,Click here to register for the Live session on November 2nd at 12 PM - 4:30 PM EDT.,Business Planning & Analysis,https://google.com
Percipio_27680a71-4d61-47f4-8b05-a02c6787c4d5,PMP ATP - October/November NA Cohort: Live Session 5,Document,Online Content,0,en-us,16200,,Click here to register for the Live session on November 9th at 12 PM - 4:30 PM EDT.,Business Skills,https://google.com
Percipio_279d6a9a-2c42-495d-af5f-1a20aabdb38e,Marketing Manager Journey,Document,Online Content,1,en-us,,,"Marketing managers are responsible for their company's marketing and branding, as well as researching and being aware of their competition. They must use many skills to best position their company in the market, including creativity, storytelling, and communication. Marketing managers use a variety of hard and soft skills to carry out their duties. Learn more about the skills required by a marketing manager.",Certifications,https://google.com
Percipio_27b36b2a-67d9-48c6-8195-aedada8fd7b3,PMP ATP - July/August/September UK and APAC Cohort: Live Session 8,Document,Online Content,0,en-us,16200,,Click here to enter the Live session on September 14th at 9 AM BST/6 PM AEST.,Data Analysis,https://google.com
Percipio_2824ea53-6e6c-429c-9285-69707c3dbaed,Customer Experience Manager Journey,Document,Online Content,1,en-us,,,"Today in the Age of the Customer, competitive advantage has been redefined. Customers are in control. They have more choices than ever before resulting in sky-high expectations. The ability to support a customer is keenly enhanced by a greater understanding of the customer's mood, communication style, and knowledge of the product or service in question. Customer experience managers can help track customer interactions for better customer experiences. This Journey is based on real-time market information from Burning Glass Technologies and focuses on the role of the Customer Experience Manager within organizations.",Cisco WebEx,https://google.com
Percipio_292b1c1c-aa19-42fb-817e-bd9e9abff047,How to Manage Unprofessional Employee Behaviour Online,Document,Online Content,1,en-us,,,"They are an HR manager’s worst nightmare: employees who call attention to themselves and the company through rude, inappropriate, racist or sexually abusive behavior online. These are people who simply don’t understand that their online persona and actions can lead back to their place of work. And it’s often up to HR to untangle the workplace impact and implications of unprofessional online behavior and how the company should respond to it. Please note that this course material includes content gathered from external websites which may fall outside your company network.  Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.",Customer Service,https://google.com
Percipio_2dbe1316-7682-4583-98ee-6b9e42367f8c,Data Science for Managers Bootcamp: Live Session 3,Document,Online Content,0,en-us,10800,,Click here for the live session on November 18th at 11 AM ET. In this session Nicolas Fernandez Lopez discusses the importance of data.,Data Analytics,https://google.com
Percipio_2e2d86d5-19cb-49f5-8dbf-47c7de636f38,PMP ATP - May/June/July UK and APAC Cohort: Live Session 4,Document,Online Content,0,en-us,16200,,Click here to enter the Live session on June 15th at 9 AM BST/6 PM AEST.,Cloud Services,https://google.com
Percipio_2f831239-5f8c-4114-b829-80808d7e497c,CISSP Bootcamp: Live Session 1,Document,Online Content,0,en-us,14400,,Click here to enter the live session on November 29th at 11 AM EST. In this session Michael Shannon will discuss information security.,Collaboration,https://google.com
Percipio_30a0098a-a694-47d3-abc7-b2f65d2f1e54,Agile Project Management Bootcamp: Live Session 1,Document,Online Content,0,en-us,10800,,Click here to register for the live session on December 13th at 11 AM ET. In this session Barabara Waters will introduce the Agile principles and mindset.,Skills for Effective Collaboration,https://google.com
Percipio_3159196b-f939-46f5-846d-30f9f74f1bf8,Adaptive Recovery: Learning to Live and Manage Amidst Challenging Times,Document,Online Content,0,en-us,3600,,"As life as we know it will continue to be uncertain for the next 18 months, how will you adapt accordingly to make the best decisions for your company, family, and self? How will we move forward as a society as information continues to change? National Security Analyst Juliette Kayyem will discuss preparedness and resilience pertaining to COVID-19 and help the audience assess how to accurately judge their responses as organizations, community members and individuals. In this presentation, Kayyem will reflect on what we can learn from 2020 and what it can teach us about becoming resilient organizations, teams and individuals. From over 20 years of working in the field, Kayyem will provide an overview of this global pandemic within a crisis management framework, and how to strategize within this period of adaptive recovery. With most disasters, societies are able to transition from response to recovery, however we are still recovering with the enemy among us. Adaptive recovery requires adaptation daily, and the need to settle a battle rhythm as we move forward. You’ll learn:•     How to get important input from stakeholders: Collaborate with your employees, management, family, and community members to take a pulse of their needs.•     How to effectively communicate during the continued crisis: Setting a battle rhythm of regular communication is key, updating according to new information and keeping everyone on the same page.•     Planning better for next time: We know that another crisis will inevitably occur so how we can build our procedures to ensure resilient systems and be better prepared for the next challenge.",Communications Skills,https://google.com
Percipio_3244a34b-87c8-4a4e-92b2-8a4c3b216286,Talent Development and Transformation: Developing The People You Lead,Document,Online Content,0,en-us,5400,,"The Live Session has now ended. The recording will be available soon. In the meantime, we invite you to share your feedback by clicking Watch to launch the feedback survey.Learning and development is a life-long journey.   It enables us to adapt to an ever-changing and evolving world by evolving our mindsets and capabilities.  Individual and team development must be a priority for individuals and teams when seeking a competitive edge in the marketplace. This session will help you learn: • Motivational factors and actions for developing your team and managing their performance• Overcome common myths about development, and how to mitigate the challenges leaders face in developing their people• Coaching principles that will guide you in helping your team members reach their full potential",Business Operations,https://google.com
Percipio_33ae6053-9fba-40a1-864e-61fad6abe032,Project Management Fundamentals Bootcamp: Live Session 3,Document,Online Content,0,en-us,10800,,Click here to enter the live session on August 25th at 11 AM EDT.,Communication Essentials,https://google.com
Percipio_34691c4b-246c-4db3-9996-31e674ad66cb,Data Science for Managers Bootcamp: Live Session 4,Document,Online Content,0,en-us,10800,,Click here to enter the live session on November 19th at 11 AM ET. In this session Nicolas Fernandez Lopez discusses the importance of data.,Cisco,https://google.com
Percipio_348c8185-95f0-4ea4-b399-55a28e49ea23,PMP ATP - January Cohort: Live Session 5,Document,Online Content,0,en-us,28800,,Click here to register for the Live session on January 21th at 10 AM Eastern.,Browsers & Operating Systems,https://google.com
Percipio_34f0f07a-7eb4-4e06-951d-22e08e813efd,PMP ATP - October Cohort: Live Session 3,Document,Online Content,0,en-us,28800,,Click here to enter the Live session on October 27th at 10 AM Eastern.,Cloud Career Journey,https://google.com
Percipio_38724478-8f30-4288-b945-f712a27de824,Communications Manager Journey,Document,Online Content,1,en-us,,,"Communications managers can help an organization build and grow their brand through a range of media communications and other activities. They can be involved in advertising and marketing campaigns, and can be responsible for press releases, interviews, newsletters, speeches, or reports. Learn more about the skills and competencies required by Communications managers. This Journey is based on real-time market information from Burning Glass Technologies and focuses on the role of the Communications Manager within organizations.",Business Skills,https://google.com
Percipio_391e45a8-943a-4c6a-adb1-add4a14f4423,CISSP 2022 Bootcamp: Live Session 1,Document,Online Content,0,en-us,14400,,Click here to register for the live session on January 10th at 11 AM EST. In this session Michael Shannon will discuss information security.,Cal/OSHA,https://google.com
Percipio_399ff259-920a-414b-a335-101c6c83a269,Using File Explorer in Windows 10,Document,Online Content,1,en-us,,,In this course you will discover how to work with the File Explorer in Windows 10. Please note that this course material includes content gathered from external websites which may fall outside your company network. Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.,Certifications,https://google.com
Percipio_3a367a05-54ce-4448-8499-0906a7063e28,Intro to the Agile Principles and Mindset Bootcamp: Live Session 1,Document,Online Content,0,en-us,10800,,"Click here to enter the live session on June 30th at 11 AM ET. In this session Barbara Waters introduces you to incremental and iterative product delivery, adapting the plan, and using empirical data to evaluate project performance.   Click here at the scheduled time to enter the Live Bootcamp session.",Choose a Learning Journey that Fits my Goal,https://google.com
Percipio_3cf5010f-9af9-4f88-880b-15d866e465a6,PMP ATP - November Cohort: Live Session 3,Document,Online Content,0,en-us,28800,,Click here to register for the Live session on November 10th at 10 AM Eastern.,Business,https://google.com
Percipio_3d9606b8-3c8f-4a41-8e50-238d888fc2aa,Finance for Non-Financial Professionals Journey,Document,Online Content,1,en-us,,,"Even if you don't work directly with budgets or financial statements, it can be very helpful to understand some basic finance concepts. Learn more about finance, accounting, and other skills to increase your effectiveness. This Journey is based on real-time market information from Burning Glass Technologies and focuses on the role of finance for non-financial professionals within organizations.",Cisco Teams,https://google.com
Percipio_3f5cfcff-2e09-4cbc-910f-34d217cf20cd,Brain Breaks: What You Need to Know,Document,Online Content,1,en-us,,,Brain breaks can help reduce homework frustration for kids. Learn more about brain break activities for kids and how they help. Please note that this course material includes content gathered from external websites which may fall outside your company network. Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.,Customer Service: Core Concepts & Methods,https://google.com
Percipio_3fcf41b7-2ec2-4948-8a97-d0f12c30ca45,How to Reduce the Stress of Homeschooling on Everyone,Document,Online Content,1,en-us,,,A school psychologist offers advice to parents on how to support their child during school closures. Please note that this course material includes content gathered from external websites which may fall outside your company network. Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.,Managing a Crisis,https://google.com
Percipio_40ba1e46-bf8a-4891-9418-68ee5fd06a85,Power BI Bootcamp: Live Session 4,Document,Online Content,0,en-us,10800,,Click here to enter the live session on July 22nd at 11 AM ET. ,Customer Success,https://google.com
Percipio_40e19374-19dc-4b8b-877f-4dfee016d932,Leading From Anywhere: How To Build High Performing Remote and Hybrid Teams,Document,Online Content,0,en-us,3600,,"It's undeniable that we're entering a new era of remote work. While many leaders seek to run business as usual, why settle for the usual when remote teams allow us to work even better? The research shows that employees are more productive and engaged when they have the freedom to work from anywhere. Which means leaders need the skills to lead from anywhere. In this meticulously researched, refreshingly practical talk, top business thought leader David Burkus provides managers with a complete guide to leading remotely, packed with everyday examples and illuminating insights. Burkus tackles the key inflection points and challenges that remote managers face from taking the team remote and adding new members, to communicating effectively and quickly, managing performance, keeping the team engaged, and even helping them strike the right balance between work and life. This talk provides everything you'll need to survive and thrive as the leader of a remote team-which is something all leaders will need to consider themselves from now on.",Core Knowledge,https://google.com
Percipio_41e53836-0b1d-4e05-a19a-495baff521f8,How to Talk About the Coronavirus with Kids,Document,Online Content,1,en-us,,,"Kids may be anxious, scared, or just curious about coronavirus (COVID-19). Here are tips on how to talk with kids who learn and think differently about the virus. Please note that this course material includes content gathered from external websites which may fall outside your company network. Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.",Collaboration Tools,https://google.com
Percipio_42d2e824-caf8-4399-8c35-e6d8839c6fa7,PMP ATP - June/July Cohort: Live Session 7,Document,Online Content,0,en-us,16200,,Click here to enter the Live session on July 19th at 1 PM Eastern.,Cloud Security,https://google.com
Percipio_441895c5-acaf-435a-ae8a-854ffd49b855,AWS Cloud Practitioner Bootcamp: Live Session 1,Document,Online Content,0,en-us,14400,,"Click here to enter the live session on October 26th at 11 AM ET. In this session Michael Shannon will introduce Cloud Concepts, Core Networking Services, as well as AWS and Compute Technologies. ",Data/ML Developer to AI Developer,https://google.com
Percipio_4439e57e-275b-477b-b848-6652795ea1f9,Forging New Paths: Women's Advancement In Life and Work,Document,Online Content,1,en-us,,,"For many women, their careers are journeys made up of diverse and interwoven experiences that build leadership, power and influence, grit, and resilience. In this Aspire Journey, women will learn how to unlock their strengths and forge new paths towards fullfillment and advancement in life and work.",Collections,https://google.com
Percipio_445f0b92-2582-4af8-a7b1-cb1dc8ae450b,PMP ATP - August/September Cohort: Live Session 6,Document,Online Content,0,en-us,16200,,Click here to enter the Live session on September 13th at 1 PM Eastern.,Cloud Computing,https://google.com
Percipio_45f8aab9-7d7b-4eb3-b30c-b48d40867c73,Meilleures pratiques pour la configuration du pare-feu Windows Defender de sécurité,Document,Online Content,1,sv,,,"La configuration de Windows pare-feu basé sur les meilleures pratiques suivantes peut vous aider à optimiser la protection des appareils de votre réseau. Ces recommandations couvrent un large éventail de déploiements, y compris les réseaux d'accueil et les systèmes de bureau/serveur d'entreprise. Veuillez noter que les supports de cours comprennent du contenu provenant de sites web externes susceptibles de se trouver en dehors du réseau de votre entreprise. Veuillez consulter les politiques d'utilisation et de sécurité de votre département informatique concernant les restrictions d'accès au contenu de sites web externes.",Cybersecurity Career Journey,https://google.com
Percipio_469eea7b-0677-471a-908d-1a8d77af0405,Scaling Agile in Your Organization Bootcamp: Live Session 1,Document,Online Content,0,en-us,14400,,"Click here to register for the live session on November 19th at 11 AM ET. In this session Barb Waters will discuss Scaling Agile in your Organization and Available Frameworks (SAFe, DAD, LeSS).",Computer Skills,https://google.com
Percipio_4817d768-6d72-4f00-957e-5b411f2a8156,The Long Game: How to Be a Long-Term Thinker in a Short-Term World,Document,Online Content,0,en-us,2400,,"It’s no secret that today’s leaders feel pulled in too many directions. In this talk, Dorie Clark – Harvard Business Review author and Duke University Fuqua School of Business executive education professor – will share concrete strategies to help you sharpen your strategic thinking and embrace a long-term perspective that pays future business and career dividends. Based on her new book, The Long Game: How to Be a Long-Term Thinker in a Short-Term World, Clark shares unique principles and frameworks you can apply to your specific situation, as well as vivid stories from her own career and other professionals’ experiences. Everyone is allotted the same 24 hours—but with the right strategies, you can leverage those hours in more efficient and powerful ways than you ever imagined. It’s never an overnight process, but the long-term payoff is immense: to finally break out of the frenetic day-to-day routine and transform your life and your career. You’ll learn how to: • Create priorities with the future in mind• Understand what you're optimizing for• Make the right kind of tradeoffs• Achieve 'strategic patience’•Place little bets to identify promising leads and emergent possibilities",Business Continuity,https://google.com
Percipio_48666a19-6cad-43aa-a89d-f6cc5e370ea1,Agile Project Management Bootcamp: Live Session 2,Document,Online Content,0,en-us,10800,,Click here to enter the live session on December 14th at 11 AM ET. In this session Barabara Waters will cover stakeholder engagement and value-driven delivery.,Business Operations,https://google.com
Percipio_4b411194-8ec3-4d37-b8c4-7e33b72e7135,Data Visualization and Storytelling Bootcamp: Live Session 2,Document,Online Content,0,en-us,10800,,Click here to register for session 2 of 4 being presented October 20th at 11 AM ET. Note you only need to register for the Bootcamp once.,Cloud,https://google.com
Percipio_4b589d13-1daa-43f5-bb5b-3a29c6c0397f,Agile Project Management Bootcamp: Live Session 3,Document,Online Content,0,en-us,10800,,Click here to enter the live session on December 15th at 11 AM ET. In this session Barabara Waters will cover product backlog prioritization and Agile Teams and tools.,Cloud Security,https://google.com
Percipio_4c3f8764-9f83-4203-8127-7270096fe44e,PMP New Exam Information Session (2021 Update),Document,Online Content,0,en-us,7200,,"Click here to enter the live session on October 15th at 11 AM ET. In this session Barabara Waters will cover: •The reason the exam is changing •Streamlined application process •Exam structure, including domains, tasks, and enablers •Content changes, including agile and hybrid approaches •Sample lesson: ""Traditional vs Agile Project Management"" •What will happen when the PMBOK 7th edition is published •Suggestions for exam success •Online exam proctoring",Client & Server Administration,https://google.com
Percipio_4c4ece8e-82b3-48c3-a7c1-2f2c4ff80e27,PMP ATP - July/August/September UK and APAC Cohort: Live Session 2,Document,Online Content,0,en-us,16200,,Click here to enter the Live session on August 3rd at 9 AM BST/6 PM AEST.,Codecademy Subjects,https://google.com
Percipio_4d2228bd-34f7-4919-96cb-e99baabafbb6,PMP ATP -January/February/March UK and APAC Cohort: Live Session 8,Document,Online Content,0,en-us,14400,,Click here to register for the Live session on March 8th at 9 AM GMT/7 PM AEST.,Core,https://google.com
Percipio_4ef5166a-7d48-4c3f-a775-cd000611cce0,Back-to-School Concerns About Your Child: How to Act on Them,Document,Online Content,1,en-us,,,"Prepare your child for back-to-school 2020. Learn about common worries, back-to-school anxiety, and what to share with the teacher. Please note that this course material includes content gathered from external websites which may fall outside your company network. Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.",Crisis Management,https://google.com
Percipio_51583fbf-03c3-4520-b61f-ff13675a33e2,Project Management Fundamentals Bootcamp: Live Session 4,Document,Online Content,0,en-us,10800,,Click here to enter the live session on August 26th at 11 AM EDT.,CompTIA,https://google.com
Percipio_515bf6ba-5aaf-49ba-be23-54cfc878435f,PMP ATP - August/September Cohort: Live Session 8,Document,Online Content,0,en-us,16200,,Click here to enter the Live session on September 27th at 1 PM Eastern.,Concur,https://google.com
Percipio_523a694f-cb9a-4e13-b027-7a3a2ed4c457,MIT SMR Skillsoft: How to Speak to Customers to Build Trust,Document,Online Content,0,en-us,3485,,"Customers are more likely to trust your company if you speak to them in certain ways. Not only is consumer confidence and trust rather low these days, we’re also serving customers in a new, distanced way. The usual reliance on facial expressions and body language to make a connection with a customer and build trust is often no longer available. And given the generalized anxiety that comes with a global pandemic, feelings of trust can be especially hard to come by these days. A growing body of research on language use in service interactions can help. Please join our speakers, authors of “Speaking to Customers in Uncertain Times,” as they show how very specific word choices and language strategies can make all the difference in connecting with customers. They’ll give practical advice on “speaking terms” that lead to customer trust. In this webinar, you will learn: Why concrete language improves customer satisfaction.When to use “I” over “we.”How to manage the trade-off between speaking in a competent versus caring manner. Please note that this course material includes content gathered from external websites which may fall outside your company network.  Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.",C#,https://google.com
Percipio_530feffd-2ffb-41a1-b391-6df7ebe36307,How to Master Working From Home—While Under Quarantine With Kids,Document,Online Content,1,en-us,,,"The spread of the coronavirus is forcing working parents into telecommute situations across the country. If you’re struggling to stay productive while working from home, these tips from full-time work-from-home moms may help. Please note that this course material includes content gathered from external websites which may fall outside your company network.  Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.",Civil,https://google.com
Percipio_531404af-2725-4ebb-b292-a5256c28c5a0,PMP ATP - October Cohort: Live Session 5,Document,Online Content,0,en-us,28800,,Click here to enter the Live session on October 29th at 10 AM Eastern.,Corporate Marketing,https://google.com
Percipio_53ea3c69-6703-483a-a9b2-cd5eb7f2fbac,The Transformation Myth: Leading Your Organization into an Uncertain Future,Document,Online Content,0,en-us,3600,,"When COVID-19 hit, businesses had to respond almost instantaneously — shifting employees to remote work, repairing broken supply chains, keeping pace with dramatically fluctuating customer demand. They were forced to adapt to a confluence of multiple disruptions inextricably linked to a longer term, ongoing digital disruption. Professor Jerry Kane’s research shows that companies that use disruption as an opportunity for innovation emerge from it stronger. Companies that merely attempt to “weather the storm” until things go back to normal (or the next normal), on the other hand, miss an opportunity to thrive. Kane argues that transformation is not a one-and-done event, but a continuous process of adapting to a volatile and uncertain environment. Drawing on five years of research into digital disruption—including a series of more than 50 interviews with business leaders conducted during the COVID-19 crisis—Kane offers a framework for understanding disruption and tools for navigating it. Technology is not an end in itself, but enables the capabilities essential for surviving an uncertain future: nimbleness, scalability, stability, and optionality. You’ll learn:•  The differences between acute and chronic disruption, and why it matters•  The characteristics of leaders that were able to help their organization navigate the severe disruption of COVID-19•  The digital technologies that did (and didn’t) help their organization navigate disruption•  Leadership lessons we should take away from the acute disruption that is COVID-19.",Business Execution,https://google.com
Percipio_54c9dca5-2351-4130-b98a-c4c6c3dc9680,PMP ATP -January/February/March UK and APAC Cohort: Live Session 7,Document,Online Content,0,en-us,14400,,Click here to register for the Live session on March 1th at 9 AM GMT/7 PM AEST.,Cloud Career Journey,https://google.com
Percipio_5949fabc-09a2-4ca7-9002-8acb7f40c2c7,PMP ATP - June/July Cohort: Live Session 8,Document,Online Content,0,en-us,16200,,Click here to enter the Live session on July 26th at 1 PM Eastern.,Browse Partner Content,https://google.com
Percipio_5c51f9d3-7cfa-474f-afe0-89247bcac5fa,PMP ATP - August/September Cohort: Live Session 5,Document,Online Content,0,en-us,16200,,Click here to enter the Live session on September 7th at 1 PM Eastern.,Cloud,https://google.com
Percipio_5c5b5209-3815-49e2-9a54-5ecdd33486a7,Beyond Status Quo: DEI and the Future of Work,Document,Online Content,1,en-us,,,"In the wake of a global pandemic and tragic events leading to widespread civil unrest, our organization needs effective leaders at every level. Inclusive leaders drive inclusive cultures and innovative results. They maximize the benefits of diversity, and ensure equitable experiences and processes in the benefit of all employees. Learn more about how to build self-awareness, move from awareness to action, and transform your workplace with purposeful leadership. The future of leadership requires we move beyond the status quo.",Communication,https://google.com
Percipio_5ca734e5-1a6c-417d-bbf6-607246761379,"The Grit Factor: Courage, Resilience, and Leadership",Document,Online Content,0,en-us,3600,,"Grit is key to our success any time, but especially in the midst of uncertainty, challenge and change. Join Shannon Huffman Polson, founder and CEO of the Grit Institute and author of The Grit Factor. As one of the first women to fly the Apache helicopter in the US Army and a veteran of corporate life as well, Polson shares stories and lessons from the cockpit of the most technologically advanced helicopter in the world that apply to the challenges you face today. Using her Commit-Learn-Launch framework as a backdrop, Polson draws on years of experience and research into grit and resilience, taking learners on a journey to plot their very own course for developing grit for themselves and their organizations, to be better equipped to lead with grit and passion, to overcome resistance, and to embrace the courage of full ownership. You’ll learn:• How a leader’s internal work on story and purpose forms the foundation for grit• The mindset development necessary to build grit and resilience• Using grit to take risks, and how leaders address fear and failure Learners will come away freshly energized, with tactical takeaways for succeeding no matter what comes your way in today’s world.",Core,https://google.com
Percipio_5d667ebf-88d2-459c-8a73-df411444de2a,PMP ATP - January Cohort: Live Session 1,Document,Online Content,0,en-us,28800,,Click here to register for the Live session on January17th at 10 AM Eastern.,Business Skills,https://google.com
Percipio_5d9c806b-e199-4c30-bda3-f7f50cafcc7a,What does remote work mean to you?,Document,Online Content,1,en-us,,,"Having a flexible, remote work policy allows employees to build a personal and professional framework on their own terms. Please note that this course material includes content gathered from external websites which may fall outside your company network.  Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.",Cybersecurity,https://google.com
Percipio_5f253fd2-b715-47b3-99fd-5bafcbf44580,Introduction to Scrum for the Team Bootcamp: Live Session,Document,Online Content,0,en-us,10800,,Click here to join the live session on January 28th at 11 AM EST.,Compliance,https://google.com
Percipio_5f2fc8bf-7b7e-4326-ac71-d668f5b58171,Harnessing Disruption through Data Analytics,Document,Online Content,1,en-us,,,"Companies increasingly rely on data and analytics to operate, improve, and compete, and it's critically important for business users to understand the technology categories that their organizations rely on to deliver analytics. The growing demand and importance of data analytics in the market has created a number of open source tools which deliver excellent results, such as R programming in data mining and Tableau public, Python in data visualization. Learn about analysis methods, big data, data-driven decision making and more.",Coordinators,https://google.com
Percipio_5f3b195b-19cd-40f1-bcc9-6fd766534750,22 Remote Learning Tips for Parents Helping at Home,Document,Online Content,1,en-us,,,"Remote learning tips for parents include focusing on the child's well-being, creating a schedule, providing resources, and making sure work is complete. Please note that this course material includes content gathered from external websites which may fall outside your company network.  Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.",Business Intelligence,https://google.com
Percipio_5fceb645-8f5e-4cb0-9514-be4fe1d5508e,PMP ATP -January/February/March UK and APAC Cohort: Live Session 3,Document,Online Content,0,en-us,14400,,Click here to register for the Live session on February 1th at 9 AM GMT/7 PM AEST.,Virtual Teams,https://google.com
Percipio_6264ead6-9d32-4d0e-9a67-39aff35b08f2,AWS Cloud Practitioner Bootcamp: Live Session 1,Document,Online Content,0,en-us,14400,,Click here to register for the live session on January 19th at 11 AM EST.,Customer Service,https://google.com
Percipio_6306df53-0dcd-4121-bfe9-bd564f28445a,Quick Digital Citizenship Activities for K–5 Distance Learning,Document,Online Content,1,en-us,,,"Use these short, self-guided digital citizenship activities and create a positive culture around digital learning. Please note that this course material includes content gathered from external websites which may fall outside your company network.  Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.",Cal/OSHA Latin American Spanish,https://google.com
Percipio_630d8bbd-ca10-4be3-a63b-bc4909566d26,Foundations. Tips and activities for parents and caregivers,Document,Online Content,1,en-us,,,"The best time to talk with our children about protecting their personal information is before they go online. Digital foundations skills, like identifying secure websites and using privacy settings, can help young people control and secure their personal information. Please note that this course material includes content gathered from external websites which may fall outside your company network.  Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.",Cybersecurity,https://google.com
