Curriculum ID*,Section Name,Child LO ID,Curriculum Title*,Vendor/Provider*,Provider type*,Active,Default Language,Subject IDs*,Description,Owners*,Created/Modified By,Keywords,Available Languages,Availability to All Users,Availability to Specific Users,Availability to OU‡,Availability OU Type,Register Upon Approval,Pre-Approved,Includes Subordinates,Curriculum Player,Recurrence,Thumbnail,Exclude from Course Recommendations,Training Purpose,Points,Badge,Emails
,Test Section for Succession Plan for Mark Miller,Percipio_b4d08c70-ce3e-11e7-845b-9d7d00b83945,Succession Plan for Mark Miller,Online Content,ONLINE,1,1,939,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Mark Miller,Percipio_badfc56a-bb6b-4aa3-bb59-a67cb65f5146,Succession Plan for Mark Miller,Online Content,ONLINE,1,1,939,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Mark Miller,Percipio_be16f800-ce3e-11e7-845b-9d7d00b83945,Succession Plan for Mark Miller,Online Content,ONLINE,1,1,939,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Mark Miller,Percipio_c7049df7-1f28-458b-945d-5df8981332e3,Succession Plan for Mark Miller,Online Content,ONLINE,1,1,939,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Mark Miller,Percipio_d2852b40-9ec8-11e7-856e-ad138f9eeddf,Succession Plan for Mark Miller,Online Content,ONLINE,1,1,939,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Mark Miller,Percipio_db083fe0-5f30-11e8-82bf-0fdcca8e1518,Succession Plan for Mark Miller,Online Content,ONLINE,1,1,939,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Mark Miller,Percipio_e9d72ed0-9e08-11e7-a1d5-693b338cf942,Succession Plan for Mark Miller,Online Content,ONLINE,1,1,939,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Matt Buttke,Kaizen_Motivation for Continuous Improvement (AGG)_Library,Succession Plan for Matt Buttke,Online Content,ONLINE,1,1,1333,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Matt Buttke,Percipio_08d96150-ca5e-11e7-9233-92959924aa1c,Succession Plan for Matt Buttke,Online Content,ONLINE,1,1,1333,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Matt Buttke,Percipio_16cc3eb0-f41a-11e6-bb29-0242c0a80506,Succession Plan for Matt Buttke,Online Content,ONLINE,1,1,1333,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
