User ID*,Session ID*,Transcript Status,Score,Pass/Fail,Request Date/Time,Registration Date/Time,Completion Date/Time,Due Date/Time,User Exempt Reason,Approver Exempt Reason,User's Exemption Comments,Approver's Exemption Comments,Exempt By,Comments*,Archived
1971,Core_ Core Operator Training (AGGU) Class,,,,08/27/2015 08:00:00.000,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,,,,,0
2033,Computer_GDP (eTime dept tracking) Class,,,,12/13/2018 15:57:33.000,12/13/2018 15:57:33.000,2018-12-01 21:00:00,,,,,,,,0
2033,Leadership_Emotional Intelligence Training-0002,,,,09/13/2019 22:00:59.000,09/13/2019 22:00:59.000,10/24/2019 14:55:00.000,,,,,,,,0
2037,Core_ Core Operator Training (AGGU) Class,,,,08/27/2015 08:00:00.000,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,,,,,0
2068,Compliance_LIVE Fire Extinguisher Training_MO-0116,,,,03/29/2023 15:28:35.000,03/29/2023 15:28:35.000,2023-04-04 13:20:00,,,,,,,,0
2131,Computer_GDP (eTime dept tracking) Class,,,,12/13/2018 15:51:19.000,12/13/2018 15:51:19.000,01/13/2018 01:00:00.000,,,,,,,,0
2131,Safety_Token Yochi Class,,,,07/13/2017 08:00:00.000,07/13/2017 08:00:00.000,07/13/2017 00:00:00.000,,,,,,,,0
2226,Computer_GDP (eTime dept tracking) Class,,,,12/13/2018 15:57:33.000,12/13/2018 15:57:33.000,2018-12-01 21:00:00,,,,,,,,0
2226,Core_ Core Operator Training (AGGU) Class,,,,08/27/2015 08:00:00.000,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,,,,,0
2231,Train the Trainer_Overhead Crane Instructor Class,,,,08/27/2015 08:00:00.000,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,,,,,0
2263,Computer Skills_Excel Basic Class,,,,04/30/2017 08:00:00.000,04/30/2017 08:00:00.000,04/30/2017 00:00:00.000,,,,,,,,0
2263,Safety_Token Yochi Class,,,,2019-07-06 20:40:37,2019-07-06 20:40:37,2019-07-06 20:40:00,,,,,,,,0
2268,Auditor Training (vendor) Class,,,,03/27/2017 08:00:00.000,03/27/2017 08:00:00.000,03/29/2017 00:00:00.000,,,,,,,,0
2268,Computer_GDP (eTime dept tracking) Class,,,,12/13/2018 14:48:56.000,12/13/2018 14:48:56.000,2018-11-01 13:00:00,,,,,,,,0
2268,Requirement_Certificate of AGG Auditor Class -0001,,,,09/30/2016 08:00:00.000,09/30/2016 08:00:00.000,09/30/2016 16:30:00.000,,,,,,,,0
2268,Requirement_Lead Auditor Training with Supplier Auditor Certification (ISO 9001:2000_ISO/TS 16949:2002),,,,09/19/2003 08:00:00.000,09/19/2003 08:00:00.000,09/19/2003 00:00:00.000,,,,,,,,0
2268,Requirement_Lead Auditor Validation (ISO/TS 16949:2009) -0001,,,,06/16/2016 08:00:00.000,06/16/2016 08:00:00.000,06/17/2016 15:00:00.000,,,,,,,,0
2289,Computer Skills_Excel Intermediate Class,,,,05/15/2017 08:00:00.000,05/15/2017 08:00:00.000,05/19/2017 00:00:00.000,,,,,,,,0
2290,Computer_GDP (eTime dept tracking) Class,,,,12/13/2018 16:22:09.000,12/13/2018 16:22:09.000,2018-12-01 12:00:00,,,,,,,,0
2340,Computer_GDP (eTime dept tracking) Class,,,,12/13/2018 16:22:09.000,12/13/2018 16:22:09.000,2018-12-01 12:00:00,,,,,,,,0
2340,Computer_Excel Basic-0011,,,,01/31/2019 14:35:56.000,01/31/2019 14:35:56.000,2019-08-02 17:25:00,,,,,,,,0
2377,Safety_Token Yochi Class,,,,2017-11-10 08:00:00,2017-11-10 08:00:00,2017-11-10 00:00:00,,,,,,,,0
2435,Core_ Core Operator Training (AGGU) Class,,,,08/27/2015 08:00:00.000,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,,,,,0
2455,Computer Skills_Excel Intermediate Class,,,,05/15/2017 08:00:00.000,05/15/2017 08:00:00.000,05/19/2017 00:00:00.000,,,,,,,,0
2522,Core_ Core Operator Training (AGGU) Class,,,,08/27/2015 08:00:00.000,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,,,,,0
2525,Core_ Core Operator Training (AGGU) Class,,,,08/27/2015 08:00:00.000,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,,,,,0
2535,Core_ Core Operator Training (AGGU) Class,,,,08/27/2015 08:00:00.000,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,,,,,0
