OU ID*,OU Name*,Active,Allow Reconciliation,Parent ID,Owner ID,Description,Req- Person ID Number,Critical Position,Plan Owner OU ID
999999,Temp Agency,1,0,,DefaultAdmin,This Job is for Temp Agency Users only,,,
999999 (wrong number),Default Job Code,1,0,,DefaultAdmin,,,,
ASK100258 (old),TEMP,1,0,,DefaultAdmin,,,,
ASK110001,Accounting,1,0,,DefaultAdmin,This Job is for Accounting Users only,,,
ASK110003,"Manager, Assistant",1,0,,DefaultAdmin,"This Job is for Manager, Assistant Users only",,,
ASK110006,Customer Service Rep,1,0,,DefaultAdmin,This Job is for Customer Service Rep Users only,,,
ASK110007,Data Entry,1,0,,DefaultAdmin,This Job is for Data Entry Users only,,,
ASK110008,Engineer,1,0,,DefaultAdmin,This Job is for Engineer Users only,,,
ASK110010,General Manager,1,0,,DefaultAdmin,This Job is for General Manager Users only,,,
ASK110011,Human Resources Administrative,1,0,,DefaultAdmin,This Job is for Human Resources Administrative Users only,,,
ASK110013,"Maintenance Electrical, MTM",1,0,,DefaultAdmin,"This Job is for Maintenance Electrical, MTM Users only",,,
ASK110015,Manager,1,0,,DefaultAdmin,This Job is for Manager Users only,,,
ASK110018,Maintenance Machinest Team Mem,1,0,,DefaultAdmin,This Job is for Maintenance Machinest Team Mem Users only,,,
ASK110019,Production Control Team Member,1,0,,DefaultAdmin,This Job is for Production Control Team Member Users only,,,
ASK110020,Planner,1,0,,DefaultAdmin,This Job is for Planner Users only,,,
ASK110021,Production Team Member,1,0,,DefaultAdmin,This Job is for Production Team Member Users only,,,
ASK110022,Quality Control Team Member,1,0,,DefaultAdmin,This Job is for Quality Control Team Member Users only,,,
ASK110026,Specialist,1,0,,DefaultAdmin,This Job is for Specialist Users only,,,
ASK110027,Supervisor,1,0,,DefaultAdmin,This Job is for Supervisor Users only,,,
ASK110028,Team Leader,1,0,,DefaultAdmin,This Job is for Team Leader Users only,,,
ASK110037,Packaging Specialist,1,0,,DefaultAdmin,This Job is for Packaging Specialist Users only,,,
ASK110044,Janitor,1,0,,DefaultAdmin,This Job is for Janitor Users only,,,
ASK110057,SCOUT LEADER,1,0,,DefaultAdmin,This Job is for SCOUT LEADER Users only,,,
ASK110058,Extrusion Team Leader,1,0,,DefaultAdmin,This Job is for Extrusion Team Leader Users only,,,
ASK110059,Extrusion Team Member,1,0,,DefaultAdmin,This Job is for Extrusion Team Member Users only,,,
ASK110060,Vice President,1,0,,DefaultAdmin,This Job is for Vice President Users only,,,
ASK110061,QC Lab Tech,1,0,,DefaultAdmin,This Job is for QC Lab Tech Users only,,,
ASK110066,Supervisor TPS,1,0,,DefaultAdmin,This Job is for Supervisor TPS Users only,,,
ASK110070,Molder Team Member,1,0,,DefaultAdmin,This Job is for Molder Team Member Users only,,,
ASK110071,Relief Team Member,1,0,,DefaultAdmin,This Job is for Relief Team Member Users only,,,
ASK110072,"General Manager, Asst",1,0,,DefaultAdmin,"This Job is for General Manager, Asst Users only",,,
ASK110073,Receiving Clerk,1,0,,DefaultAdmin,This Job is for Receiving Clerk Users only,,,
ASK110074,Direct Production Team Member,1,0,,DefaultAdmin,This Job is for Direct Production Team Member Users only,,,
ASK110075,Direct Production Control Team,1,0,,DefaultAdmin,This Job is for Direct Production Control Team Users only,,,
ASK110076,Direct Quality Control Team Me,1,0,,DefaultAdmin,This Job is for Direct Quality Control Team Me Users only,,,
ASK110077,Direct Team Leader,1,0,,DefaultAdmin,This Job is for Direct Team Leader Users only,,,
ASK110079,Direct Area Relief Team Member,1,0,,DefaultAdmin,This Job is for Direct Area Relief Team Member Users only,,,
ASK110080,Mold Set-up Team Member,1,0,,DefaultAdmin,This Job is for Mold Set-up Team Member Users only,,,
ASK110081,Supervisor II,1,0,,DefaultAdmin,This Job is for Supervisor II Users only,,,
ASK110082,"Manager, Senior",1,0,,DefaultAdmin,"This Job is for Manager, Senior Users only",,,
ASK110083,Mold Engineer II,1,0,,DefaultAdmin,This Job is for Mold Engineer II Users only,,,
ASK110084,Shipping Specialist,1,0,,DefaultAdmin,This Job is for Shipping Specialist Users only,,,
ASK110085,EHS Specialist,1,0,,DefaultAdmin,This Job is for EHS Specialist Users only,,,
ASK110086,Process Engineer I,1,0,,DefaultAdmin,This Job is for Process Engineer I Users only,,,
ASK110087,Process Engineer II,1,0,,DefaultAdmin,This Job is for Process Engineer II Users only,,,
ASK110088,Human Resources Generalist,1,0,,DefaultAdmin,This Job is for Human Resources Generalist Users only,,,
ASK110089,Intern,1,0,,DefaultAdmin,This Job is for Intern Users only,,,
ASK110090,Shift Leader,1,0,,DefaultAdmin,This Job is for Shift Leader Users only,,,
